,year,ft_lgbt,religion,party_id,religion_cat,party_id_cat
45679,2002,15.0,1.0,5.0,Religious,Democrat
45681,2002,30.0,1.0,1.0,Religious,Republican
45682,2002,50.0,1.0,2.0,Religious,Independent
45683,2002,80.0,1.0,1.0,Religious,Republican
45684,2002,40.0,1.0,3.0,Religious,No preference
45685,2002,50.0,0.0,2.0,Not Religious,Independent
45686,2002,50.0,1.0,5.0,Religious,Democrat
45687,2002,52.0,1.0,5.0,Religious,Democrat
45688,2002,50.0,1.0,5.0,Religious,Democrat
45689,2002,75.0,0.0,2.0,Not Religious,Independent
45690,2002,40.0,0.0,1.0,Not Religious,Republican
45691,2002,50.0,1.0,1.0,Religious,Republican
45692,2002,75.0,0.0,5.0,Not Religious,Democrat
45693,2002,50.0,1.0,5.0,Religious,Democrat
45694,2002,50.0,1.0,2.0,Religious,Independent
45695,2002,50.0,1.0,2.0,Religious,Independent
45696,2002,50.0,1.0,2.0,Religious,Independent
45697,2002,50.0,1.0,1.0,Religious,Republican
45698,2002,98.5,1.0,5.0,Religious,Democrat
45699,2002,30.0,1.0,1.0,Religious,Republican
45700,2002,75.0,1.0,5.0,Religious,Democrat
45701,2002,25.0,1.0,1.0,Religious,Republican
45702,2002,70.0,0.0,5.0,Not Religious,Democrat
45703,2002,50.0,1.0,5.0,Religious,Democrat
45705,2002,75.0,1.0,2.0,Religious,Independent
45706,2002,30.0,0.0,1.0,Not Religious,Republican
45707,2002,80.0,1.0,2.0,Religious,Independent
45708,2002,50.0,1.0,3.0,Religious,No preference
45710,2002,15.0,1.0,1.0,Religious,Republican
45711,2002,70.0,0.0,4.0,Not Religious,Other
45715,2002,70.0,1.0,1.0,Religious,Republican
45716,2002,40.0,0.0,1.0,Not Religious,Republican
45717,2002,50.0,1.0,1.0,Religious,Republican
45720,2002,80.0,1.0,1.0,Religious,Republican
45721,2002,50.0,1.0,1.0,Religious,Republican
45722,2002,50.0,1.0,1.0,Religious,Republican
45723,2002,40.0,1.0,2.0,Religious,Independent
45724,2002,50.0,1.0,1.0,Religious,Republican
45725,2002,75.0,1.0,5.0,Religious,Democrat
45726,2002,50.0,1.0,5.0,Religious,Democrat
45727,2002,50.0,1.0,2.0,Religious,Independent
45728,2002,50.0,1.0,3.0,Religious,No preference
45729,2002,50.0,1.0,2.0,Religious,Independent
45730,2002,50.0,1.0,2.0,Religious,Independent
45731,2002,50.0,0.0,5.0,Not Religious,Democrat
45732,2002,60.0,1.0,1.0,Religious,Republican
45733,2002,60.0,1.0,1.0,Religious,Republican
45734,2002,0.0,0.0,2.0,Not Religious,Independent
45738,2002,30.0,1.0,1.0,Religious,Republican
45739,2002,98.5,1.0,1.0,Religious,Republican
45740,2002,50.0,0.0,2.0,Not Religious,Independent
45741,2002,30.0,1.0,1.0,Religious,Republican
45743,2002,2.0,1.0,5.0,Religious,Democrat
45744,2002,80.0,1.0,2.0,Religious,Independent
45745,2002,50.0,1.0,5.0,Religious,Democrat
45746,2002,60.0,1.0,1.0,Religious,Republican
45747,2002,10.0,1.0,5.0,Religious,Democrat
45748,2002,50.0,0.0,5.0,Not Religious,Democrat
45749,2002,0.0,1.0,1.0,Religious,Republican
45750,2002,90.0,0.0,2.0,Not Religious,Independent
45751,2002,40.0,1.0,5.0,Religious,Democrat
45752,2002,50.0,1.0,5.0,Religious,Democrat
45753,2002,50.0,1.0,5.0,Religious,Democrat
45754,2002,98.5,1.0,1.0,Religious,Republican
45755,2002,50.0,1.0,2.0,Religious,Independent
45756,2002,90.0,1.0,1.0,Religious,Republican
45757,2002,30.0,1.0,1.0,Religious,Republican
45758,2002,75.0,1.0,5.0,Religious,Democrat
45759,2002,5.0,1.0,1.0,Religious,Republican
45760,2002,40.0,1.0,2.0,Religious,Independent
45761,2002,70.0,1.0,2.0,Religious,Independent
45762,2002,50.0,1.0,2.0,Religious,Independent
45763,2002,50.0,1.0,2.0,Religious,Independent
45764,2002,50.0,0.0,5.0,Not Religious,Democrat
45765,2002,10.0,1.0,5.0,Religious,Democrat
45767,2002,60.0,1.0,1.0,Religious,Republican
45768,2002,50.0,0.0,5.0,Not Religious,Democrat
45769,2002,60.0,0.0,5.0,Not Religious,Democrat
45770,2002,50.0,0.0,1.0,Not Religious,Republican
45771,2002,50.0,1.0,1.0,Religious,Republican
45772,2002,20.0,1.0,5.0,Religious,Democrat
45775,2002,0.0,1.0,5.0,Religious,Democrat
45776,2002,50.0,1.0,1.0,Religious,Republican
45777,2002,40.0,1.0,1.0,Religious,Republican
45779,2002,50.0,1.0,1.0,Religious,Republican
45780,2002,50.0,1.0,1.0,Religious,Republican
45781,2002,50.0,0.0,1.0,Not Religious,Republican
45782,2002,50.0,1.0,1.0,Religious,Republican
45783,2002,50.0,1.0,2.0,Religious,Independent
45784,2002,50.0,1.0,1.0,Religious,Republican
45785,2002,50.0,1.0,5.0,Religious,Democrat
45786,2002,60.0,1.0,2.0,Religious,Independent
45787,2002,2.0,1.0,2.0,Religious,Independent
45788,2002,92.0,1.0,5.0,Religious,Democrat
45790,2002,50.0,0.0,2.0,Not Religious,Independent
45791,2002,75.0,1.0,2.0,Religious,Independent
45793,2002,50.0,1.0,1.0,Religious,Republican
45794,2002,98.5,0.0,5.0,Not Religious,Democrat
45795,2002,50.0,1.0,1.0,Religious,Republican
45797,2002,20.0,1.0,5.0,Religious,Democrat
45801,2002,70.0,1.0,1.0,Religious,Republican
45802,2002,40.0,1.0,1.0,Religious,Republican
45803,2002,65.0,0.0,5.0,Not Religious,Democrat
45804,2002,5.0,1.0,5.0,Religious,Democrat
45805,2002,50.0,1.0,1.0,Religious,Republican
45806,2002,0.0,1.0,1.0,Religious,Republican
45808,2002,70.0,0.0,5.0,Not Religious,Democrat
45809,2002,60.0,1.0,5.0,Religious,Democrat
45811,2002,98.5,0.0,2.0,Not Religious,Independent
45812,2002,0.0,1.0,2.0,Religious,Independent
45813,2002,50.0,1.0,5.0,Religious,Democrat
45815,2002,10.0,1.0,2.0,Religious,Independent
45816,2002,49.0,1.0,2.0,Religious,Independent
45817,2002,50.0,1.0,1.0,Religious,Republican
45818,2002,75.0,0.0,5.0,Not Religious,Democrat
45820,2002,50.0,1.0,2.0,Religious,Independent
45823,2002,35.0,0.0,1.0,Not Religious,Republican
45826,2002,10.0,1.0,5.0,Religious,Democrat
45829,2002,50.0,1.0,5.0,Religious,Democrat
45830,2002,60.0,1.0,1.0,Religious,Republican
45831,2002,90.0,1.0,2.0,Religious,Independent
